reference_mode,condition,amplitude,frequency,analysis_group,n_channels,driven_log2_power_change
physical_shank_median,amp250_freq10,250,10,A_dHPC_32-63,32,-0.08317834780988066
physical_shank_median,amp250_freq10,250,10,A_dHPC_64-95,32,-0.05897263761508353
physical_shank_median,amp250_freq10,250,10,A_dHPC_96-127,31,-0.10987282802655524
physical_shank_median,amp250_freq10,250,10,B_LEC_128-191,51,-0.023413200706314915
physical_shank_median,amp250_freq10,250,10,B_LEC_192-255,32,-0.036353615216986254
physical_shank_median,amp250_freq26,250,26,A_dHPC_0-31,32,-0.19214492843026
physical_shank_median,amp250_freq26,250,26,A_dHPC_32-63,32,-0.21589403318487488
physical_shank_median,amp250_freq26,250,26,A_dHPC_64-95,32,-0.18369535071203974
physical_shank_median,amp250_freq26,250,26,A_dHPC_96-127,31,-0.13920065443544338
physical_shank_median,amp250_freq26,250,26,B_LEC_128-191,51,0.07200571774280091
physical_shank_median,amp250_freq26,250,26,B_LEC_192-255,32,0.09528674704430422
physical_shank_median,amp250_freq5,250,5,A_dHPC_0-31,32,-0.06230511632503602
physical_shank_median,amp250_freq5,250,5,A_dHPC_32-63,32,-0.07314504065849599
physical_shank_median,amp250_freq5,250,5,A_dHPC_64-95,32,-0.08979828524385099
physical_shank_median,amp250_freq5,250,5,A_dHPC_96-127,31,-0.08473838238658418
physical_shank_median,amp250_freq5,250,5,B_LEC_128-191,51,0.02057763580884378
physical_shank_median,amp250_freq5,250,5,B_LEC_192-255,32,0.05154651905918306
physical_shank_median,amp250_freq50,250,50,A_dHPC_0-31,32,-0.08299063075902367
physical_shank_median,amp250_freq50,250,50,A_dHPC_32-63,32,-0.13804190118369516
physical_shank_median,amp250_freq50,250,50,A_dHPC_64-95,32,0.1584457167713988
physical_shank_median,amp250_freq50,250,50,A_dHPC_96-127,31,-0.20848876901857052
physical_shank_median,amp250_freq50,250,50,B_LEC_128-191,51,1.4783557040939614
physical_shank_median,amp250_freq50,250,50,B_LEC_192-255,32,1.262410667422698
raw,amp100_freq10,100,10,A_dHPC_0-31,32,-0.10304200188966825
raw,amp100_freq10,100,10,A_dHPC_32-63,32,-0.07925029408705551
raw,amp100_freq10,100,10,A_dHPC_64-95,32,-0.07093891486684945
raw,amp100_freq10,100,10,A_dHPC_96-127,31,-0.09427944050231252
raw,amp100_freq10,100,10,B_LEC_128-191,51,-0.037080493560321434
raw,amp100_freq10,100,10,B_LEC_192-255,32,-0.08805309362883663
raw,amp100_freq26,100,26,A_dHPC_0-31,32,-0.08508620460128791
raw,amp100_freq26,100,26,A_dHPC_32-63,32,-0.09972398664619825
raw,amp100_freq26,100,26,A_dHPC_64-95,32,-0.08927719876467868
raw,amp100_freq26,100,26,A_dHPC_96-127,31,-0.10430733998293631
raw,amp100_freq26,100,26,B_LEC_128-191,51,-0.02829111828534535
raw,amp100_freq26,100,26,B_LEC_192-255,32,-0.0071466747750610835
raw,amp100_freq5,100,5,A_dHPC_0-31,32,0.03728225438401635
raw,amp100_freq5,100,5,A_dHPC_32-63,32,0.049067863752786205
raw,amp100_freq5,100,5,A_dHPC_64-95,32,0.06194981599222033
raw,amp100_freq5,100,5,A_dHPC_96-127,31,0.06540996576978454
raw,amp100_freq5,100,5,B_LEC_128-191,51,0.01548214191910702
raw,amp100_freq5,100,5,B_LEC_192-255,32,0.09932537537566508
raw,amp100_freq50,100,50,A_dHPC_0-31,32,-0.15747697878628783
raw,amp100_freq50,100,50,A_dHPC_32-63,32,-0.24721754738226212
raw,amp100_freq50,100,50,A_dHPC_64-95,32,-0.20789286555237435
raw,amp100_freq50,100,50,A_dHPC_96-127,31,-0.19279651817034016
raw,amp100_freq50,100,50,B_LEC_128-191,51,0.1457527397421507
raw,amp100_freq50,100,50,B_LEC_192-255,32,0.21420504056955947
raw,amp180_freq10,180,10,A_dHPC_0-31,32,0.12850541159540424
raw,amp180_freq10,180,10,A_dHPC_32-63,32,0.11804455121891567
raw,amp180_freq10,180,10,A_dHPC_64-95,32,0.09369222201436686
raw,amp180_freq10,180,10,A_dHPC_96-127,31,0.09949150329673878
raw,amp180_freq10,180,10,B_LEC_128-191,51,0.015465001765481061
raw,amp180_freq10,180,10,B_LEC_192-255,32,0.030419158875821004
raw,amp180_freq26,180,26,A_dHPC_0-31,32,-0.10864565922583243
raw,amp180_freq26,180,26,A_dHPC_32-63,32,-0.09813074549578771
raw,amp180_freq26,180,26,A_dHPC_64-95,32,-0.07655711427090055
raw,amp180_freq26,180,26,A_dHPC_96-127,31,-0.07524934906123491
raw,amp180_freq26,180,26,B_LEC_128-191,51,-0.00663274349758413
raw,amp180_freq26,180,26,B_LEC_192-255,32,0.07625980579361044
raw,amp180_freq5,180,5,A_dHPC_0-31,32,0.010972722171024919
raw,amp180_freq5,180,5,A_dHPC_32-63,32,0.03458672327453705
raw,amp180_freq5,180,5,A_dHPC_64-95,32,0.02316805363820868
raw,amp180_freq5,180,5,A_dHPC_96-127,31,0.0353356587003231
raw,amp180_freq5,180,5,B_LEC_128-191,51,-0.06998575826096419
raw,amp180_freq5,180,5,B_LEC_192-255,32,-0.04156926564740369
raw,amp180_freq50,180,50,A_dHPC_0-31,32,-0.0651807930230875
raw,amp180_freq50,180,50,A_dHPC_32-63,32,-0.06451843435053656
raw,amp180_freq50,180,50,A_dHPC_64-95,32,-0.03492295070606645
raw,amp180_freq50,180,50,A_dHPC_96-127,31,0.07777499899075421
raw,amp180_freq50,180,50,B_LEC_128-191,51,0.37853876752961074
raw,amp180_freq50,180,50,B_LEC_192-255,32,0.564755872097957
raw,amp250_freq10,250,10,A_dHPC_0-31,32,-0.0965276140117967
raw,amp250_freq10,250,10,A_dHPC_32-63,32,-0.09052794075679611
raw,amp250_freq10,250,10,A_dHPC_64-95,32,-0.08551868580957142
raw,amp250_freq10,250,10,A_dHPC_96-127,31,-0.10339016511606287
raw,amp250_freq10,250,10,B_LEC_128-191,51,-0.005135218681240763
raw,amp250_freq10,250,10,B_LEC_192-255,32,-0.03510836698356526
raw,amp250_freq26,250,26,A_dHPC_0-31,32,-0.20473876906117655
raw,amp250_freq26,250,26,A_dHPC_32-63,32,-0.21513523044302355
raw,amp250_freq26,250,26,A_dHPC_64-95,32,-0.1673878646265255
raw,amp250_freq26,250,26,A_dHPC_96-127,31,-0.13030142047694165
raw,amp250_freq26,250,26,B_LEC_128-191,51,0.057077846758062725
raw,amp250_freq26,250,26,B_LEC_192-255,32,0.13329762691915573
raw,amp250_freq5,250,5,A_dHPC_0-31,32,-0.08708327933752426
raw,amp250_freq5,250,5,A_dHPC_32-63,32,-0.12036621124693318
raw,amp250_freq5,250,5,A_dHPC_64-95,32,-0.11009291086803294
raw,amp250_freq5,250,5,A_dHPC_96-127,31,-0.11493855897218772
raw,amp250_freq5,250,5,B_LEC_128-191,51,0.017722046658825336
raw,amp250_freq5,250,5,B_LEC_192-255,32,0.06851041628807358
raw,amp250_freq50,250,50,A_dHPC_0-31,32,0.25584695583125705
raw,amp250_freq50,250,50,A_dHPC_32-63,32,0.2726113322413607
raw,amp250_freq50,250,50,A_dHPC_64-95,32,0.26990308702069327
raw,amp250_freq50,250,50,A_dHPC_96-127,31,0.5635196514842902
raw,amp250_freq50,250,50,B_LEC_128-191,51,0.6716591555853164
raw,amp250_freq50,250,50,B_LEC_192-255,32,0.9925740518705586
